filename,issuer,raw_text,cleaned_text,receipt_number,date,payer,amount_words,total_ksh,phone,email,num_lines,avg_confidence
1000-receipt.jpeg,Unknown,"BURUBURU BRANCH | P.0. Box 2361 00621, Vi1lage Market. | CASH SALE | 行 | VAT Reg:0126753Q Pin No.P051188806D | Date:11:03am Mon 27 Apri1 2020 | Branch: 32 Till:6 Session:48 Rct:50 | 2004270600480050 | Item Qty | Each | Total | R500ML | F | ECL QUENCHER LIFE WATER | 1.000 PCS | 24.00 | 24.00 | 380005 | F | B/SIDE SWEET LALA 50OML BTL | 2.000 PCS | 75.00 | 150.00 | 400808 | 174.00 | TOTAL | 网 | 20.00 | CASH PAID | ： | 154.00 | CR/DR CARD: | 0.00 | CHANGE | ！ | 中 | otal Qty : 3.00 units | 09 | : CHRISTABELA MKAJALA | ashier | ","BURUBURU BRANCH | P.0. Box 2361 00621, Vi1lage Market. | Cash Sale |  | VAT Reg:0126753Q Pin No.P051188806D | Date:11:03am Mon 27 Apri1 2020 | Branch: 32 Till:6 Session:48 Rct:50 | 2004270600480050 | Item Qty | Each | Total | R500ML | F | ECL QUENCHER LIFE WATER | 1.000 PCS | 24.00 | 24.00 | 380005 | F | B/SIDE SWEET LALA 50OML BTL | 2.000 PCS | 75.00 | 150.00 | 400808 | 174.00 | TOTAL |  | 20.00 | CASH PAID | ： | 154.00 | Card Payment: | 0.00 | CHANGE | ！ |  | otal Qty : 3.00 units | 09 | : CHRISTABELA MKAJALA | ashier | ",2004270600480050,,,,,,,41,0.855
10000-receipt.jpeg,Unknown,"CHK318 | TBL30/1 | GST | WANJA | 12 May'24 19:38 PM |  | Bacon wrapped chicken | breast | 2800.00 | 1 Paradise catch of the | day | 2500.00 | Safari Park Special | 950.00 | 1Lemonade | 750.00 | 2 Pan seared pork loin | chops | 5600.00 | 2 Vanilla Milkshake | 2600.00 | 1 Mineral Water Keringet 1 | Liter | 700.00 | 1Cappuccino | 800.00 | Subtotal | KES16,700.00 | Tt1 Due KES16,700.00 | MpesaPaybi11:548100","CHK318 | TBL30/1 | GST | WANJA | 12 May'24 19:38 PM |  | Bacon wrapped chicken | breast | 2800.00 | 1 Paradise catch of the | day | 2500.00 | Safari Park Special | 950.00 | 1Lemonade | 750.00 | 2 Pan-seared pork loin | chops | 5600.00 | 2 Vanilla Milkshake | 2600.00 | 1 Mineral Water Keringet 1 | Liter | 700.00 | 1Cappuccino | 800.00 | Subtotal | KES16,700.00 | Total Due KES16,700.00 | MpesaPaybi11:548100",548100,12 may'24,,,"16,700.00",,,30,0.947
11000-receipt.jpg,Munch Lavington,CASH SALE | TelN | P.O.Box | MMBuzi |  | MUNCH LAVINGTON | Bot.of | KARTASI | Tbone Ceak | Shs. | Tlapia | Cts. | JQSO | 8 | uqali | de | A |  | 8S0 | hll oater | Q0 | 100 | 00 | 240 | 00 | 专 | bd | A | s | C | H | B | E&OE | 24p0 | NO | 00 | Goods once sod are notReumablaThankyou | R+4O | 82 | DD,Cash Sale | TelN | P.O. Box | MMBuzi |  | Munch Lavington | Bottle of | KARTASI | Tbone Steak | KSh  | Tlapia | Cts. | JQSO | 8 | uqali | de | A |  | 8S0 | hll oater | Q0 | 100 | 00 | 240 | 00 |  | bd | A | s | C | H | B | E&OE | 24p0 | NO | 00 | Goods once sod are notReumablaThankyou | R+4O | 82 | DD,,,,,,,,40,0.7
12000-receipt.jpg,Unknown,ASHARA HESTLANIS | Uat#: | ASHARA | x*EAT-INxo# | Tex JnvNo:2207 | Bovars | STAFF | :Steve | ：2 | Table31 | 27Aupubt201816:28 | Peni-Reri ChickenLiver | KES650.00 |  | KES1200.00 | IUenllla Hlkshake | KES450.0 | Tsebhl ASa | KES1200.00 | ISprlte | KES150.00 | Total:KES3650.00 | KES494.91 Qutout Tax | KES61.86 | KES9D93.23 Tota1Exel | Gratulty: | Total: | BAAP Polnt ot Sale 1:6:1659,ASHARA HESTLANIS | Uat#: | ASHARA | x*EAT-INxo# | Tex JnvNo:2207 | Bovars | STAFF | :Steve | ：2 | Table31 | 27Aupubt201816:28 | Peni-Reri ChickenLiver | KES650.00 |  | KES1200.00 | IUenllla Hlkshake | KES450.0 | Tsebhl ASa | KES1200.00 | ISprlte | KES150.00 | Total:KES3650.00 | KES494.91 Qutout Tax | KES61.86 | KES9D93.23 Tota1Exel | Gratulty: | Total: | BAAP Polnt ot Sale 1:6:1659,,,,,,,,28,0.822
13000-receipt.jpg,Unknown,3 | 250 | CHICKSALESRECEIPT | m | d....... | M/s. | homou... | ? | QTY | DESCRIPTION | SHS | Boludayo1d | 110 | D280 | 125400 | ? | J | 0 | 20 | 业 | C | L | TERMSSTRICTLYOHCASRBASIS | (50%Pro Paymt(Only s0% Aocoptad) | TOTAL | 1.whifto | 2.Pk3.Grn,3 | 250 | CHICKSALESRECEIPT | m | d....... | M/s. | homou... | ? | QTY | DESCRIPTION | KSh  | Boludayo1d | 110 | D280 | 125400 | ? | J | 0 | 20 |  | C | L | TERMSSTRICTLYOHCASRBASIS | (50%Pro Paymt(Only s0% Aocoptad) | TOTAL | 1.whifto | 2.Pk3.Grn,125400,,,,,,,27,0.621
14000-receipt.jpeg,Nyeri County,KE START UFLECLRECEIPT # | REGISIERH0:KE0000314240024 | SAMRAT SUPERMARKET | P.0 B0X: 12309- 10109 | NYERI BRANCH | PIN N0:P051163853Y | 0453#A | 00127616 | USR 00000001 | HRA/EFP/01052013/20257B | IILL NO. : 2 | CASH SALE# | 453 | DATE : 22-HAY-17 | TIME : 07:04:PM  | BRANCH:01 | ITEM | QTY | PRICE | AMOUNT | 150144 | 2X | 160.00 | MAYCORN MAIZE MEAL2KG | 320.002 | TOTAL | 320.00 | CASH | 500.00 | CHANGE | 180.00,KE START UFLECLRECEIPT # | REGISIERH0:KE0000314240024 | SAMRAT SUPERMARKET | P.0 B0X: 12309-10109 | NYERI BRANCH | PIN N0:P051163853Y | 0453#A | 00127616 | USR 00000001 | HRA/EFP/01052013/20257B | IILL NO. : 2 | Cash Sale# | 453 | DATE : 22-HAY-17 | TIME : 07:04:PM | BRANCH:01 | ITEM | QTY | PRICE | AMOUNT | 150144 | 2X | 160.00 | MAYCORN MAIZE MEAL2KG | 320.002 | TOTAL | 320.00 | CASH | 500.00 | CHANGE | 180.00,00127616,,,,,,,31,0.957
14000-receipt.png,Unknown,"ABC Company | P.O.B0x66827 | Nairobi | POS Invoice | Bill No. | ：1 | Time | ：15:44hrs | Date | ：3-4-2020 | SI Description | Qty | Rate | Amount | 1Laptops | 135,000.00 | 35000.00 | VAT | 4900.00 | Total | 人 | KSh39900.00 | Cash |  | 39900.00 | Cash Tendered |  | 40000.00 | Balance | ： | 100.00 | TotalPaid | 39900.00 | ThankYou! | Visit Again!","ABC Company | P.O.B0x66827 | Nairobi | POS Invoice | Bill No. | ：1 | Time | ：15:44hrs | Date | ：3-4-2020 | SI Description | Qty | Rate | Amount | 1Laptops | 135,000.00 | 35000.00 | VAT | 4900.00 | Total |  | KSh 39900.00 | Cash |  | 39900.00 | Cash Tendered |  | 40000.00 | Balance | ： | 100.00 | TotalPaid | 39900.00 | ThankYou! | Visit Again!",,,,,,,,35,0.882
15000-receipt.jpg,Unknown,Mkatrungan po b ang presyo.pang aerox. | motorcycleshop santiagogentri | H | NO. | DATE | SOLDTO | ADDRESS | QTY.UNIT | ARTICLES | PRICE | AMOUNT | 259D | PishonRyng | 350 | BasuloachiA | 20D | HadbaskeA | 250 | 180 | A20 | y | N | VolueSeala | Cams | 220 | 0 | V | Pluilere | NES | 3600 | epdnA | N | 160 | Zlioo | 2 | DL | 180 | nleD | 2 | DRvO | ho | T | TOTAL | nD,Mkatrungan po b ang presyo.pang aerox. | motorcycleshop santiagogentri | H | NO. | DATE | SOLDTO | ADDRESS | QTY.UNIT | ARTICLES | PRICE | AMOUNT | 259D | PishonRyng | 350 | BasuloachiA | 20D | HadbaskeA | 250 | 180 | A20 | y | N | VolueSeala | Cams | 220 | 0 | V | Pluilere | NES | 3600 | epdnA | N | 160 | Zlioo | 2 | DL | 180 | nleD | 2 | DRvO | ho | T | TOTAL | nD,,,,,,,,44,0.707
16000-receipt.jpeg,Nyeri County,Fax:061 2allfrl | GENERAL MISCELLANEOUS INCOME | Date 140112026 | No. | 135589 | Joseph | Received from |  | For | Acoesr | Tweaty only | The Sum ofShs | T·LB | onaccount | 207 | Kshis | Sign: | Cash/Cheque No | For:County Treasury,Fax:061 2allfrl | GENERAL MISCELLANEOUS INCOME | Date 140112026 | No. | 135589 | Josephh | Received from |  | For | Acoesr | Twenty only | The Sum ofShs | T·LB | onaccount | 207 | KSh is | Sign: | Cash/Cheque No | For:County Treasury,140112026,,,,,,,19,0.834
17000-receipt.jpeg,Unknown,C0151331667 | NANYUKI BRANCH | jen Shoppinglomplex | Roysambu | Next toPamkibuse | Gefro Imani Building | Royal Plaza Building | NexttoKANU Grounds | PO.Box121410109Nyeni | 5THFloorRm No.510 | 1ST Floor Rm No.1 | Tel:0718545361 | Tel:0724243338/0739-347199 | 0735166752 | No! | 827119 | Date: | 20.2.6 | Received from | The Sum of Shillings | 厦 |  | V | a. |  | Being payment  | of | 2412 | 203 | Kshs. | With Thanks | CashyCheque | Landlord/ Lady | Signature | LeGu | h | Rm. No. | ?,C0151331667 | NANYUKI BRANCH | jen Shoppinglomplex | Roysambu | Next toPamkibuse | Gefro Imani Building | Royal Plaza Building | NexttoKANU Grounds | P.O. Box121410109Nyeni | 5THFloorRm No.510 | 1ST Floor Rm No.1 | Tel:0718545361 | Tel:0724243338/0739-347199 | 0735166752 | No! | 827119 | Date: | 20.2.6 | Received from | The Sum of Shillings |  |  | V | a. |  | Being payment | of | 2412 | 203 | KSh  | With Thanks | CashyCheque | Landlord/ Lady | Signature | LeGu | h | Rm. No. | ?,0718545361,,,,,,,38,0.78
